#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	AV(point)	AV(extend)
1044630000000.00	3.9721	-15.461	4	4.0418	-15.5415	-3.8334	-0.0001	-3.1759	-0.0248	-1.2613	-16.6392	-6.1718	-1.719	-0.0134	-1.9573	-5.0358	-0.9338	-0.0661	-1.6074	-4.1563	-35.9298	5.79E-06	4.20E-06
5223150000000.00	3.9721	-15.461	4	4.0418	-15.5416	-3.8334	-0.0001	-3.1759	-0.0248	-1.2613	-17.1618	-6.1719	-1.719	-0.0134	-1.9573	-5.0358	-0.9337	-0.0661	-1.6084	-4.1577	-35.9298	2.90E-05	2.10E-05
21937200000000.00	3.9721	-15.461	4	4.0418	-15.5418	-3.8335	-0.0001	-3.1759	-0.0247	-1.262	-16.4079	-6.172	-1.719	-0.0134	-1.9588	-5.0358	-0.9338	-0.066	-1.6123	-4.1632	-35.9298	1.22E-04	8.83E-05
45792900000000.00	3.9721	-15.462	4	4.0418	-15.5424	-3.8338	-0.0001	-3.1764	-0.025	-1.2579	-17.396	-6.172	-1.719	-0.0134	-1.9581	-5.037	-0.9348	-0.0657	-1.6185	-4.1722	-35.9298	2.54E-04	1.84E-04
69645600000000.00	3.9721	-15.463	4	4.0418	-15.5428	-3.834	-0.0001	-3.1769	-0.0252	-1.2537	-16.4675	-6.1723	-1.719	-0.0134	-1.9552	-5.0418	-0.9394	-0.0649	-1.6247	-4.1815	-35.9298	3.86E-04	2.80E-04
93495200000000.00	3.9712	-15.463	4	4.0418	-15.5386	-3.8335	-0.0001	-3.1767	-0.0253	-1.2522	-16.4712	-6.1714	-1.7185	-0.0134	-1.9561	-5.0484	-0.9465	-0.0638	-1.6308	-4.1911	-35.9298	5.18E-04	3.76E-04
117269000000000.00	3.9712	-15.464	4	4.0418	-15.5388	-3.8337	-0.0001	-3.1768	-0.0254	-1.2515	-16.9544	-6.1713	-1.7184	-0.0134	-1.9572	-5.0482	-0.9463	-0.0636	-1.6378	-4.2011	-35.9298	6.50E-04	4.72E-04
146514000000000.00	3.9705	-15.464	4	4.0418	-15.5355	-3.8334	-0.0001	-3.1765	-0.0252	-1.2535	-16.4893	-6.1706	-1.718	-0.0134	-1.9595	-5.0552	-0.9537	-0.0625	-1.645	-4.2122	-35.9298	8.12E-04	5.90E-04
184534000000000.00	3.9705	-15.465	4	4.0418	-15.5356	-3.8336	-0.0001	-3.1764	-0.025	-1.2568	-16.3566	-6.1704	-1.7179	-0.0133	-1.963	-5.0546	-0.9532	-0.0623	-1.6554	-4.2271	-35.9298	1.02E-03	7.43E-04
233959000000000.00	3.9694	-15.465	4	4.0418	-15.5312	-3.8331	-0.0001	-3.1758	-0.0247	-1.2631	-16.4647	-6.1692	-1.7173	-0.0133	-1.9686	-5.0626	-0.9617	-0.0609	-1.6679	-4.2459	-35.9298	1.30E-03	9.41E-04
