VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16	VAR17	VAR18	VAR19	VAR20
2.750000000000000e+0	1.200000000000000e+4	2.750000000000000e+0	1.500000000000000e+4	1.750000000000000e+0	2.400000000000000e+4	1.750000000000000e+0	2.700000000000000e+4	1.000000000000000e+0	0.0000000000000000	7.500000000000000e-1	0.0000000000000000								
3.250000000000000e+0	1.200000000000000e+4	3.250000000000000e+0	1.500000000000000e+4	2.250000000000000e+0	2.400000000000000e+4	2.250000000000000e+0	2.700000000000000e+4	2.000000000000000e+0	2.700000000000000e+4	1.250000000000000e+0	0.0000000000000000								
								3.000000000000000e+0	1.500000000000000e+4										
								1.000000000000000e+0	0.0000000000000000										
								2.000000000000000e+0	2.400000000000000e+4										
								3.000000000000000e+0	1.200000000000000e+4										
								1.000000000000000e+0	0.0000000000000000										
								2.000000000000000e+0	2.700000000000000e+4										
								3.000000000000000e+0	1.200000000000000e+4										
																			
																			
																			
																			
																			
																			
																		1.000000000000000e+0	7.679470000000000e+4
