VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
4.000000000000000e+4	1.000000000000000e+0	1.000000000000000e+5	5.000000000000000e-1	4.000000000000000e+4	9.583000000000000e-1
1.500000000000000e+5	1.000000000000000e+0	1.000000000000000e+5	2.000000000000000e+0	5.000000000000000e+4	9.600000000000000e-1
				6.000000000000000e+4	9.628000000000000e-1
				7.000000000000000e+4	9.675000000000000e-1
				8.000000000000000e+4	9.746000000000000e-1
				9.000000000000000e+4	9.850000000000000e-1
				9.500000000000000e+4	9.916000000000000e-1
				1.000000000000000e+5	9.994000000000000e-1
				1.050000000000000e+5	1.008000000000000e+0
				1.100000000000000e+5	1.019000000000000e+0
				1.200000000000000e+5	1.045000000000000e+0
				1.300000000000000e+5	1.077000000000000e+0
				1.400000000000000e+5	1.119000000000000e+0
				1.500000000000000e+5	1.170000000000000e+0
