stage of ioni	VAR2	VAR3	VAR4
1.000000000000000e+0	6.399793388429752e+0	1.936000000000000e+0	3.400000000000000e-1
2.000000000000000e+0	6.399793388429752e+0	1.936000000000000e+0	3.400000000000000e-1
3.000000000000000e+0	6.399793388429752e+0	1.936000000000000e+0	3.500000000000000e-1
4.000000000000000e+0	6.396489416623645e+0	1.937000000000000e+0	3.500000000000000e-1
5.000000000000000e+0	6.396489416623645e+0	1.937000000000000e+0	3.600000000000000e-1
6.000000000000000e+0	6.396489416623645e+0	1.937000000000000e+0	3.700000000000000e-1
7.000000000000000e+0	6.396489416623645e+0	1.937000000000000e+0	3.700000000000000e-1
8.000000000000000e+0	6.393188854489164e+0	1.938000000000000e+0	3.800000000000000e-1
9.000000000000000e+0	6.393188854489164e+0	1.938000000000000e+0	3.900000000000000e-1
1.000000000000000e+1	6.393188854489164e+0	1.938000000000000e+0	4.000000000000000e-1
1.100000000000000e+1	6.396489416623645e+0	1.937000000000000e+0	4.100000000000000e-1
1.200000000000000e+1	6.399793388429752e+0	1.936000000000000e+0	4.200000000000000e-1
1.300000000000000e+1	6.406411582213030e+0	1.934000000000000e+0	4.300000000000000e-1
1.400000000000000e+1	6.409725814795655e+0	1.933000000000000e+0	4.400000000000000e-1
1.500000000000000e+1	6.416364577938892e+0	1.931000000000000e+0	4.500000000000000e-1
1.600000000000000e+1	6.419689119170985e+0	1.930000000000000e+0	4.600000000000000e-1
1.700000000000000e+1	6.426348547717842e+0	1.928000000000000e+0	4.700000000000000e-1
1.800000000000000e+1	6.429683445770628e+0	1.927000000000000e+0	4.700000000000000e-1
1.900000000000000e+1	6.476738107684266e+0	1.913000000000000e+0	4.800000000000000e-1
2.000000000000000e+1	6.503937007874016e+0	1.905000000000000e+0	4.800000000000000e-1
2.100000000000000e+1	6.531365313653137e+0	1.897000000000000e+0	4.900000000000000e-1
2.200000000000000e+1	6.583421891604677e+0	1.882000000000000e+0	4.900000000000000e-1
2.300000000000000e+1	6.622127204703368e+0	1.871000000000000e+0	1.100000000000000e-1
2.400000000000000e+1	6.657710908113917e+0	1.861000000000000e+0	7.500000000000000e-1
2.500000000000000e+1	6.697297297297298e+0	1.850000000000000e+0	0.0000000000000000
2.600000000000000e+1	6.968503937007874e+0	1.778000000000000e+0	0.0000000000000000
