freq	gra abs	gra scat	sil abs	sil scat
1.053800000000000e-5	3.810000000000000e-29	3.570000000000000e-38	3.879999999999999e-29	2.480000000000000e-38
1.163000000000000e-5	4.639999999999999e-29	5.300000000000001e-38	4.739999999999999e-29	3.670000000000000e-38
1.283600000000000e-5	5.659999999999999e-29	7.860000000000000e-38	5.800000000000000e-29	5.440000000000000e-38
1.416800000000000e-5	6.899999999999999e-29	1.170000000000000e-37	7.079999999999999e-29	8.070000000000000e-38
1.563700000000000e-5	8.410000000000000e-29	1.730000000000000e-37	8.650000000000000e-29	1.200000000000000e-37
1.725800000000000e-5	1.020000000000000e-28	2.570000000000000e-37	1.060000000000000e-28	1.770000000000000e-37
1.904800000000000e-5	1.250000000000000e-28	3.810000000000000e-37	1.290000000000000e-28	2.630000000000000e-37
2.102300000000000e-5	1.520000000000000e-28	5.640000000000000e-37	1.580000000000000e-28	3.900000000000000e-37
2.320300000000000e-5	1.860000000000000e-28	8.370000000000000e-37	1.930000000000000e-28	5.780000000000000e-37
2.560900000000000e-5	2.260000000000000e-28	1.240000000000000e-36	2.350000000000000e-28	8.570000000000000e-37
2.826500000000000e-5	2.760000000000000e-28	1.840000000000000e-36	2.880000000000000e-28	1.270000000000000e-36
3.119600000000000e-5	3.360000000000000e-28	2.730000000000000e-36	3.510000000000000e-28	1.880000000000000e-36
3.443100000000000e-5	4.100000000000001e-28	4.050000000000000e-36	4.290000000000001e-28	2.790000000000000e-36
3.800200000000000e-5	5.000000000000001e-28	6.010000000000000e-36	5.240000000000000e-28	4.140000000000000e-36
4.194300000000000e-5	6.090000000000001e-28	8.920000000000000e-36	6.410000000000001e-28	6.140000000000000e-36
4.629200000000000e-5	7.420000000000000e-28	1.320000000000000e-35	7.830000000000000e-28	9.110000000000000e-36
5.109200000000000e-5	9.050000000000000e-28	1.960000000000000e-35	9.560000000000002e-28	1.350000000000000e-35
5.639100000000000e-5	1.100000000000000e-27	2.910000000000000e-35	1.170000000000000e-27	2.000000000000000e-35
6.223800000000000e-5	1.340000000000000e-27	4.320000000000000e-35	1.430000000000000e-27	2.970000000000000e-35
6.869200000000000e-5	1.640000000000000e-27	6.410000000000000e-35	1.740000000000000e-27	4.400000000000000e-35
7.581600000000000e-5	2.000000000000000e-27	9.510000000000000e-35	2.130000000000000e-27	6.529999999999999e-35
8.367800000000000e-5	2.440000000000000e-27	1.410000000000000e-34	2.600000000000000e-27	9.680000000000000e-35
9.235500000000000e-5	2.970000000000000e-27	2.090000000000000e-34	3.180000000000000e-27	1.430000000000000e-34
1.019300000000000e-4	3.620000000000000e-27	3.100000000000000e-34	3.880000000000000e-27	2.130000000000000e-34
1.125000000000000e-4	4.410000000000000e-27	4.600000000000001e-34	4.740000000000000e-27	3.150000000000000e-34
1.241700000000000e-4	5.380000000000000e-27	6.830000000000001e-34	5.800000000000000e-27	4.680000000000001e-34
1.370500000000000e-4	6.560000000000001e-27	1.010000000000000e-33	7.079999999999999e-27	6.930000000000001e-34
1.512600000000000e-4	7.990000000000000e-27	1.500000000000000e-33	8.650000000000000e-27	1.030000000000000e-33
1.669400000000000e-4	9.740000000000000e-27	2.230000000000000e-33	1.060000000000000e-26	1.520000000000000e-33
1.842500000000000e-4	1.190000000000000e-26	3.310000000000000e-33	1.290000000000000e-26	2.260000000000000e-33
2.033600000000000e-4	1.450000000000000e-26	4.899999999999999e-33	1.580000000000000e-26	3.350000000000000e-33
2.244500000000000e-4	1.760000000000000e-26	7.270000000000000e-33	1.930000000000000e-26	4.970000000000000e-33
2.477300000000000e-4	2.150000000000000e-26	1.080000000000000e-32	2.350000000000000e-26	7.370000000000000e-33
2.734100000000000e-4	2.620000000000000e-26	1.600000000000000e-32	2.880000000000000e-26	1.090000000000000e-32
3.017700000000000e-4	3.200000000000000e-26	2.370000000000000e-32	3.510000000000000e-26	1.620000000000000e-32
3.330600000000000e-4	3.900000000000000e-26	3.520000000000000e-32	4.290000000000000e-26	2.400000000000000e-32
3.676000000000000e-4	4.750000000000000e-26	5.220000000000001e-32	5.240000000000000e-26	3.560000000000000e-32
4.057200000000000e-4	5.790000000000000e-26	7.750000000000000e-32	6.410000000000001e-26	5.280000000000001e-32
4.477900000000000e-4	7.060000000000000e-26	1.150000000000000e-31	7.830000000000000e-26	7.830000000000000e-32
4.942300000000000e-4	8.600000000000000e-26	1.710000000000000e-31	9.560000000000002e-26	1.160000000000000e-31
5.454800000000000e-4	1.050000000000000e-25	2.530000000000000e-31	1.170000000000000e-25	1.720000000000000e-31
6.020500000000000e-4	1.280000000000000e-25	3.750000000000000e-31	1.430000000000000e-25	2.550000000000000e-31
6.644799999999999e-4	1.560000000000000e-25	5.570000000000000e-31	1.740000000000000e-25	3.780000000000000e-31
7.333800000000000e-4	1.900000000000000e-25	8.260000000000000e-31	2.130000000000000e-25	5.610000000000000e-31
8.094400000000000e-4	2.320000000000000e-25	1.220000000000000e-30	2.600000000000000e-25	8.310000000000002e-31
8.929200000000000e-4	2.820000000000000e-25	1.810000000000000e-30	3.180000000000000e-25	1.230000000000000e-30
9.832200000000000e-4	3.420000000000000e-25	2.660000000000000e-30	3.860000000000000e-25	1.810000000000000e-30
1.085200000000000e-3	4.200000000000000e-25	3.950000000000000e-30	4.720000000000001e-25	2.680000000000000e-30
1.197700000000000e-3	5.180000000000000e-25	5.870000000000000e-30	5.760000000000000e-25	3.970000000000000e-30
1.321900000000000e-3	6.360000000000000e-25	8.660000000000000e-30	7.040000000000000e-25	5.890000000000000e-30
1.459000000000000e-3	7.780000000000000e-25	1.270000000000000e-29	8.600000000000000e-25	8.730000000000000e-30
1.610300000000000e-3	9.470000000000000e-25	1.880000000000000e-29	1.050000000000000e-24	1.290000000000000e-29
1.777300000000000e-3	1.140000000000000e-24	2.730000000000000e-29	1.280000000000000e-24	1.920000000000000e-29
1.961600000000000e-3	1.350000000000000e-24	3.979999999999999e-29	1.570000000000000e-24	2.850000000000000e-29
2.165000000000000e-3	1.560000000000000e-24	5.770000000000000e-29	1.920000000000000e-24	4.219999999999999e-29
2.389500000000000e-3	1.740000000000000e-24	8.270000000000000e-29	2.340000000000000e-24	6.259999999999999e-29
2.637300000000000e-3	1.880000000000000e-24	1.180000000000000e-28	2.860000000000000e-24	9.279999999999998e-29
2.910800000000000e-3	1.940000000000000e-24	1.690000000000000e-28	3.490000000000000e-24	1.380000000000000e-28
3.212600000000000e-3	1.920000000000000e-24	2.420000000000000e-28	4.270000000000000e-24	2.040000000000000e-28
3.545800000000000e-3	1.840000000000000e-24	3.520000000000000e-28	5.230000000000001e-24	2.980000000000000e-28
3.913500000000000e-3	1.720000000000000e-24	5.140000000000000e-28	6.540000000000000e-24	4.320000000000001e-28
4.319300000000000e-3	1.600000000000000e-24	7.540000000000000e-28	8.210000000000002e-24	6.060000000000001e-28
4.767200000000000e-3	1.510000000000000e-24	1.120000000000000e-27	9.760000000000000e-24	7.680000000000000e-28
5.261600000000000e-3	1.460000000000000e-24	1.660000000000000e-27	9.830000000000000e-24	8.380000000000002e-28
5.807200000000000e-3	1.450000000000000e-24	2.460000000000000e-27	7.680000000000000e-24	9.510000000000002e-28
6.409400000000000e-3	1.480000000000000e-24	3.680000000000000e-27	6.310000000000000e-24	1.570000000000000e-27
7.074000000000001e-3	1.570000000000000e-24	5.490000000000000e-27	8.530000000000000e-24	3.160000000000000e-27
7.807600000000000e-3	1.710000000000000e-24	8.150000000000000e-27	1.390000000000000e-23	5.470000000000000e-27
8.617300000000000e-3	1.920000000000000e-24	1.220000000000000e-26	2.110000000000000e-23	8.000000000000000e-27
9.510900000000000e-3	2.190000000000000e-24	1.800000000000000e-26	2.780000000000000e-23	9.150000000000000e-27
