u	LTE	log(t)=4	log t 2	log t 0	log t -2	log t -4	log t -6	log t -8	log t -10
1.053000000000000e-5	8.026000000000000e+0	1.902900000000000e+0	1.902900000000000e+0	1.902900000000000e+0	1.902900000000000e+0	1.902900000000000e+0	1.902900000000000e+0	1.913900000000000e+0	4.202500000000000e-1
1.163000000000000e-5	1.079000000000000e+1	2.563400000000000e+0	2.563400000000000e+0	2.563400000000000e+0	2.563400000000000e+0	2.563400000000000e+0	2.563400000000000e+0	2.575100000000000e+0	4.783500000000000e-1
1.283000000000000e-5	1.451000000000000e+1	3.451600000000000e+0	3.451600000000000e+0	3.451700000000000e+0	3.451700000000000e+0	3.451700000000000e+0	3.451700000000000e+0	3.464400000000000e+0	5.422300000000000e-1
1.416000000000000e-5	1.951000000000000e+1	4.646300000000000e+0	4.646300000000000e+0	4.646300000000000e+0	4.646300000000000e+0	4.646300000000000e+0	4.646300000000000e+0	4.660600000000000e+0	6.124300000000000e-1
1.563000000000000e-5	2.622000000000000e+1	6.252800000000000e+0	6.252800000000000e+0	6.252800000000000e+0	6.252800000000000e+0	6.252800000000000e+0	6.252800000000000e+0	6.269800000000000e+0	6.895500000000000e-1
1.725000000000000e-5	3.526000000000000e+1	8.413200000000000e+0	8.413200000000000e+0	8.413200000000000e+0	8.413200000000000e+0	8.413200000000000e+0	8.413200000000000e+0	8.432000000000000e+0	7.742600000000000e-1
1.904000000000000e-5	4.740000000000000e+1	1.131800000000000e+1	1.131800000000000e+1	1.131800000000000e+1	1.131800000000000e+1	1.131800000000000e+1	1.131800000000000e+1	1.132600000000000e+1	8.672900000000000e-1
2.101000000000000e-5	6.373000000000000e+1	1.522400000000000e+1	1.522400000000000e+1	1.522400000000000e+1	1.522500000000000e+1	1.522500000000000e+1	1.522500000000000e+1	1.516700000000000e+1	9.695000000000000e-1
2.319000000000000e-5	8.569000000000000e+1	2.047700000000000e+1	2.047700000000000e+1	2.047700000000000e+1	2.047700000000000e+1	2.047700000000000e+1	2.047700000000000e+1	2.020300000000000e+1	1.081800000000000e+0
2.560000000000000e-5	1.152000000000000e+2	2.753900000000000e+1	2.753900000000000e+1	2.753900000000000e+1	2.753900000000000e+1	2.753900000000000e+1	2.753900000000000e+1	2.669900000000000e+1	1.205200000000000e+0
2.825000000000000e-5	1.549000000000000e+2	3.703500000000000e+1	3.703500000000000e+1	3.703500000000000e+1	3.703500000000000e+1	3.703500000000000e+1	3.703500000000000e+1	3.492600000000000e+1	1.341000000000000e+0
3.118000000000000e-5	2.082000000000000e+2	4.980300000000000e+1	4.980300000000000e+1	4.980300000000000e+1	4.980300000000000e+1	4.980300000000000e+1	4.980300000000000e+1	4.514600000000000e+1	1.490300000000000e+0
3.442000000000000e-5	2.800000000000000e+2	6.697000000000000e+1	6.697000000000000e+1	6.697000000000000e+1	6.697000000000000e+1	6.697000000000000e+1	6.697000000000000e+1	5.744500000000000e+1	1.639300000000000e+0
3.799000000000000e-5	3.764000000000000e+2	9.005100000000000e+1	9.005100000000000e+1	9.005100000000000e+1	9.005100000000000e+1	9.005100000000000e+1	9.005100000000000e+1	7.198200000000000e+1	1.798300000000000e+0
4.193000000000000e-5	5.061000000000000e+2	1.210800000000000e+2	1.210800000000000e+2	1.210800000000000e+2	1.210800000000000e+2	1.210800000000000e+2	1.210800000000000e+2	8.888200000000000e+1	1.970900000000000e+0
4.627000000000000e-5	6.804000000000000e+2	1.628000000000000e+2	1.628000000000000e+2	1.628100000000000e+2	1.628100000000000e+2	1.628100000000000e+2	1.628100000000000e+2	1.082200000000000e+2	2.158300000000000e+0
5.107000000000000e-5	9.148000000000000e+2	2.189000000000000e+2	2.189000000000000e+2	2.189000000000000e+2	2.189000000000000e+2	2.189000000000000e+2	2.189000000000000e+2	1.300400000000000e+2	2.361800000000000e+0
5.637000000000000e-5	1.230000000000000e+3	2.943200000000000e+2	2.943200000000000e+2	2.943200000000000e+2	2.943200000000000e+2	2.943200000000000e+2	2.943200000000000e+2	1.543900000000000e+2	2.582800000000000e+0
6.221000000000000e-5	1.654000000000000e+3	3.957100000000000e+2	3.957100000000000e+2	3.957100000000000e+2	3.957100000000000e+2	3.957100000000000e+2	3.957100000000000e+2	1.813200000000000e+2	2.823000000000000e+0
6.866000000000000e-5	2.223000000000000e+3	5.320300000000000e+2	5.320300000000000e+2	5.320300000000000e+2	5.320300000000000e+2	5.320300000000000e+2	5.320300000000000e+2	2.108900000000000e+2	3.084000000000000e+0
7.579000000000000e-5	2.989000000000000e+3	7.152999999999999e+2	7.152999999999999e+2	7.152999999999999e+2	7.152999999999999e+2	7.152999999999999e+2	7.152999999999999e+2	2.431500000000000e+2	3.367700000000000e+0
8.364000000000000e-5	4.018000000000000e+3	9.617000000000000e+2	9.617000000000000e+2	9.617000000000000e+2	9.617000000000000e+2	9.617000000000000e+2	9.617000000000000e+2	2.782000000000000e+2	3.676100000000000e+0
9.232000000000000e-5	5.403000000000000e+3	1.293000000000000e+3	1.293000000000000e+3	1.293000000000000e+3	1.293000000000000e+3	1.293000000000000e+3	1.293000000000000e+3	3.161700000000000e+2	4.011300000000000e+0
1.019000000000000e-4	7.264000000000000e+3	1.738300000000000e+3	1.738300000000000e+3	1.738300000000000e+3	1.738300000000000e+3	1.738300000000000e+3	1.738400000000000e+3	3.572000000000000e+2	4.375700000000000e+0
1.125000000000000e-4	9.766000000000000e+3	2.337100000000000e+3	2.337100000000000e+3	2.337100000000000e+3	2.337100000000000e+3	2.337100000000000e+3	2.337400000000000e+3	4.014600000000000e+2	4.771899999999999e+0
1.241000000000000e-4	1.313000000000000e+4	3.142000000000000e+3	3.142000000000000e+3	3.142000000000000e+3	3.142000000000000e+3	3.142000000000000e+3	3.143600000000000e+3	4.491800000000000e+2	5.202500000000000e+0
1.370000000000000e-4	1.765000000000000e+4	4.224200000000000e+3	4.224200000000000e+3	4.224200000000000e+3	4.224200000000000e+3	4.224200000000000e+3	4.229500000000000e+3	5.005900000000000e+2	5.670700000000000e+0
1.512000000000000e-4	2.373000000000000e+4	5.679000000000000e+3	5.679000000000000e+3	5.679000000000000e+3	5.679000000000000e+3	5.679000000000000e+3	5.690900000000000e+3	5.559700000000000e+2	6.179700000000001e+0
1.669000000000000e-4	3.191000000000000e+4	7.634900000000000e+3	7.634900000000000e+3	7.634900000000000e+3	7.634900000000000e+3	7.634900000000000e+3	7.649900000000000e+3	6.156400000000000e+2	6.732800000000000e+0
1.842000000000000e-4	4.290000000000000e+4	1.026400000000000e+4	1.026400000000000e+4	1.026400000000000e+4	1.026400000000000e+4	1.026400000000000e+4	1.025300000000000e+4	6.799600000000000e+2	7.334100000000000e+0
2.033000000000000e-4	5.767000000000000e+4	1.379900000000000e+4	1.379900000000000e+4	1.379900000000000e+4	1.379900000000000e+4	1.379900000000000e+4	1.366300000000000e+4	7.493100000000000e+2	7.987500000000000e+0
2.244000000000000e-4	7.753000000000000e+4	1.855100000000000e+4	1.855100000000000e+4	1.855100000000000e+4	1.855100000000000e+4	1.855100000000000e+4	1.804800000000000e+4	8.241300000000000e+2	8.697500000000000e+0
2.476000000000000e-4	1.042000000000000e+5	2.494000000000000e+4	2.494000000000000e+4	2.494000000000000e+4	2.494000000000000e+4	2.494000000000000e+4	2.356600000000000e+4	9.048900000000000e+2	9.468900000000000e+0
2.733000000000000e-4	1.401000000000000e+5	3.352800000000000e+4	3.352800000000000e+4	3.352800000000000e+4	3.352800000000000e+4	3.352800000000000e+4	3.035300000000000e+4	9.921000000000000e+2	1.030700000000000e+1
