hden	b1	b2s	b2p	b4
1.000000000000000e+6	1.411000000000000e+11	3.092000000000000e+6	2.317000000000000e+0	7.630000000000000e-1
1.000000000000000e+7	1.412000000000000e+10	3.099000000000000e+5	2.332000000000000e+0	7.640000000000000e-1
1.000000000000000e+8	1.416000000000000e+9	3.058000000000000e+4	2.340000000000000e+0	7.680000000000000e-1
1.000000000000000e+9	1.421000000000000e+8	3.061000000000000e+3	2.348000000000000e+0	7.720000000000000e-1
1.000000000000000e+10	1.433000000000000e+7	3.106000000000000e+2	2.368000000000000e+0	7.840000000000000e-1
1.000000000000000e+11	1.445000000000000e+6	3.346000000000000e+1	2.388000000000000e+0	8.040000000000000e-1
1.000000000000000e+12	1.457000000000000e+5	5.539000000000000e+0	2.408000000000000e+0	8.920000000000000e-1
1.000000000000000e+13	1.359000000000000e+4	2.527000000000000e+0	2.236000000000000e+0	1.045000000000000e+0
1.000000000000000e+14	1.027000000000000e+3	1.750000000000000e+0	1.727000000000000e+0	1.024000000000000e+0
1.000000000000000e+15	8.713000000000000e+1	1.269000000000000e+0	1.267000000000000e+0	1.003000000000000e+0
1.000000000000000e+16	8.610000000000000e+0	1.039000000000000e+0	1.039000000000000e+0	1.000000000000000e+0
1.000000000000000e+17	1.688000000000000e+0	1.005000000000000e+0	1.005000000000000e+0	1.000000000000000e+0
1.000000000000000e+18	1.030000000000000e+0	1.001000000000000e+0	1.001000000000000e+0	1.000000000000000e+0
1.000000000000000e+19	1.001000000000000e+0	1.000000000000000e+0	1.000000000000000e+0	1.000000000000000e+0
