temperature	N=1	2s	2p	VAR5	VAR6	VAR7
1.000000000000000e+2	1.300000000000000e+7	3.076000000000000e+2	2.369000000000000e+0	7.835000000000000e-1	5.000000000000000e+4	1.000000000000000e+0
1.584893192461114e+2	1.300000000000000e+7	3.075000000000000e+2	2.369000000000000e+0	7.833500000000000e-1		
2.511886431509580e+2	1.300000000000000e+7	3.066000000000000e+2	2.370000000000000e+0	7.866000000000000e-1		
3.981071705534974e+2	1.260000000000000e+7	3.013000000000000e+2	2.375000000000000e+0	8.030000000000000e-1		
6.309573444801930e+2	1.100000000000000e+7	2.729000000000000e+2	2.404000000000000e+0	8.909000000000000e-1		
1.000000000000000e+3	6.140000000000000e+6	1.854000000000000e+2	2.493000000000000e+0	1.161000000000000e+0		
1.584893192461114e+3	1.640000000000000e+6	1.022000000000000e+2	2.577000000000000e+0	1.419000000000000e+0		
2.511886431509580e+3	2.920000000000000e+5	7.630000000000000e+1	2.603000000000000e+0	1.498000000000000e+0		
3.981071705534974e+3	4.721000000000000e+4	7.130000000000000e+1	2.606000000000000e+0	1.513000000000000e+0		
6.309573444801930e+3	7.497000000000000e+3	6.930000000000000e+1	2.602000000000000e+0	1.517000000000000e+0		
1.000000000000000e+4	1.180000000000000e+3	6.204000000000000e+1	2.571000000000000e+0	1.524000000000000e+0		
1.584893192461114e+4	1.811000000000000e+2	3.760000000000000e+1	2.449000000000000e+0	1.541000000000000e+0		
2.511886431509582e+4	2.620000000000000e+1	1.095000000000000e+1	2.160000000000000e+0	1.501000000000000e+0		
3.981071705534969e+4	3.132000000000000e+0	2.224000000000000e+0	1.447000000000000e+0	1.223000000000000e+0		
5.000000000000000e+4	1.007000000000000e+0	1.102000000000000e+0	9.981000000000000e-1	1.016000000000000e+0		
