atom number	Z	Y	X	W
2.000000000000000e+0	2.502400000000000e+3	2.365600000000000e+3	2.365600000000000e+3	2.337600000000000e+3
3.000000000000000e+0	1.892700000000000e+3	1.819800000000000e+3	1.819800000000000e+3	1.793700000000000e+3
4.000000000000000e+0	1.673600000000000e+3	1.627200000000000e+3	1.627200000000000e+3	1.604800000000000e+3
5.000000000000000e+0	1.560750000000000e+3	1.527250000000000e+3	1.527250000000000e+3	1.508000000000000e+3
6.000000000000000e+0	1.492560000000000e+3	1.466640000000000e+3	1.466640000000000e+3	1.449720000000000e+3
7.000000000000000e+0	1.446480000000000e+3	1.425410000000000e+3	1.425410000000000e+3	1.410710000000000e+3
8.000000000000000e+0	1.413760000000000e+3	1.395840000000000e+3	1.395840000000000e+3	1.382400000000000e+3
9.000000000000000e+0	1.389150000000000e+3	1.372950000000000e+3	1.372950000000000e+3	1.361610000000000e+3
1.000000000000000e+1	1.370000000000000e+3	1.355000000000000e+3	1.355000000000000e+3	1.345000000000000e+3
1.100000000000000e+1	1.353990000000000e+3	1.340680000000000e+3	1.340680000000000e+3	1.331000000000000e+3
1.200000000000000e+1	1.341648000000000e+3	1.329408000000000e+3	1.328976000000000e+3	1.320336000000000e+3
1.300000000000000e+1	1.330875000000000e+3	1.319383000000000e+3	1.318876000000000e+3	1.310933000000000e+3
1.400000000000000e+1	1.321824000000000e+3	1.310848000000000e+3	1.310260000000000e+3	1.303008000000000e+3
1.500000000000000e+1	1.315125000000000e+3	1.304775000000000e+3	1.304100000000000e+3	1.297575000000000e+3
1.600000000000000e+1	1.306624000000000e+3	1.296640000000000e+3	1.295872000000000e+3	1.289984000000000e+3
1.700000000000000e+1	1.300211000000000e+3	1.290674000000000e+3	1.289807000000000e+3	1.284316000000000e+3
1.800000000000000e+1	1.294704000000000e+3	1.285308000000000e+3	1.284336000000000e+3	1.279152000000000e+3
1.900000000000000e+1	1.289492000000000e+3	1.280467000000000e+3	1.279384000000000e+3	1.274691000000000e+3
2.000000000000000e+1	1.284800000000000e+3	1.276000000000000e+3	1.274800000000000e+3	1.270800000000000e+3
2.100000000000000e+1	1.280664000000000e+3	1.272285000000000e+3	1.270521000000000e+3	1.266552000000000e+3
2.200000000000000e+1	1.276308000000000e+3	1.268080000000000e+3	1.266628000000000e+3	1.263240000000000e+3
2.300000000000000e+1	1.272774000000000e+3	1.264839000000000e+3	1.262723000000000e+3	1.259549000000000e+3
2.400000000000000e+1	1.268928000000000e+3	1.261440000000000e+3	1.259136000000000e+3	1.256256000000000e+3
2.500000000000000e+1	1.265625000000000e+3	1.258125000000000e+3	1.255625000000000e+3	1.253125000000000e+3
2.600000000000000e+1	1.262092000000000e+3	1.254656000000000e+3	1.252628000000000e+3	1.250600000000000e+3
2.700000000000000e+1	1.258983000000000e+3	1.251693000000000e+3	1.248777000000000e+3	1.247319000000000e+3
2.800000000000000e+1	1.255968000000000e+3	1.248912000000000e+3	1.245776000000000e+3	1.244208000000000e+3
2.900000000000000e+1	1.253090000000000e+3	1.246362000000000e+3	1.242998000000000e+3	1.242157000000000e+3
3.000000000000000e+1	1.248300000000000e+3	1.242000000000000e+3	1.238400000000000e+3	1.237500000000000e+3
