VAR1	nFn/Hb=1448.8	nFn	VAR4	VAR5	VAR6	VAR7	VAR8
1.010000000000000e-5	5.240000000000001e-4	7.570000000000000e-1	7.570000000000000e-1	5.784000000000000e-1		6.080000000000000e-1	1.629030000000000e-1
1.030000000000000e-5	5.400000000000000e-4	7.800000000000000e-1	7.800000000000000e-1	7.985000000000000e-1		5.066670000000000e-1	6.532260000000000e-1
1.050000000000000e-5	5.570000000000000e-4	8.050000000000000e-1	8.050000000000000e-1	8.227000000000000e-1		4.145450000000000e-1	2.221408000000000e+0
1.070000000000000e-5	5.740000000000000e-4	8.290000000000000e-1	8.290000000000000e-1	8.472000000000000e-1		3.648000000000000e-1	4.200000000000000e+0
1.100000000000000e-5	5.910000000000001e-4	8.540000000000000e-1	8.540000000000000e-1	8.721000000000000e-1		2.763640000000000e-1	1.224340000000000e+1
1.120000000000000e-5	6.089999999999999e-4	8.800000000000000e-1	8.800000000000000e-1	8.973000000000000e-1		2.605710000000000e-1	1.147465000000000e+1
1.140000000000000e-5	6.260000000000000e-4	9.050000000000000e-1	9.050000000000000e-1	9.229000000000000e-1		2.224390000000000e-1	1.239182000000000e+0
1.160000000000000e-5	6.440000000000001e-4	9.310000000000000e-1	9.310000000000000e-1	9.488000000000000e-1		1.940430000000000e-1	1.678106000000000e+0
1.190000000000000e-5	6.630000000000000e-4	9.580000000000000e-1	9.580000000000000e-1	9.750000000000000e-1		1.688890000000000e-1	2.150538000000000e+0
1.210000000000000e-5	6.810000000000000e-4	9.840000000000000e-1	9.840000000000000e-1	1.002000000000000e+0		1.341180000000000e-1	2.785816000000000e+0
1.230000000000000e-5	7.000000000000000e-4	1.010000000000000e+0	1.010000000000000e+0	1.029000000000000e+0		1.060470000000000e-1	1.918605000000000e+0
1.260000000000000e-5	7.190000000000000e-4	1.040000000000000e+0	1.040000000000000e+0	1.056000000000000e+0		7.296000000000000e-2	1.484516000000000e+0
1.280000000000000e-5	7.380000000000000e-4	1.070000000000000e+0	1.070000000000000e+0	1.083000000000000e+0		5.527300000000000e-2	9.736070000000000e-1
1.310000000000000e-5	7.570000000000000e-4	1.090000000000000e+0	1.090000000000000e+0	1.111000000000000e+0		4.145500000000000e-2	8.588710000000000e-1
1.340000000000000e-5	7.770000000000000e-4	1.120000000000000e+0	1.120000000000000e+0	1.140000000000000e+0		2.605700000000000e-2	5.474650000000000e-1
1.360000000000000e-5	7.970000000000000e-4	1.150000000000000e+0	1.150000000000000e+0	1.168000000000000e+0		1.900000000000000e-2	4.173390000000000e-1
1.390000000000000e-5	8.170000000000000e-4	1.180000000000000e+0	1.180000000000000e+0	1.198000000000000e+0		1.048300000000000e-2	2.558400000000000e-1
1.420000000000000e-5	8.370000000000000e-4	1.210000000000000e+0	1.210000000000000e+0	1.227000000000000e+0		9.599999999999998e-3	2.363330000000000e-1
1.450000000000000e-5	8.580000000000000e-4	1.240000000000000e+0	1.240000000000000e+0	1.257000000000000e+0		9.120000000000000e-3	2.259680000000000e-1
1.480000000000000e-5	8.800000000000000e-4	1.270000000000000e+0	1.270000000000000e+0	1.287000000000000e+0		8.142999999999998e-3	2.054290000000000e-1
1.510000000000000e-5	9.000000000000000e-4	1.300000000000000e+0	1.300000000000000e+0	1.318000000000000e+0		7.296000000000000e-3	1.875480000000000e-1
1.540000000000000e-5	9.220000000000000e-4	1.330000000000000e+0	1.330000000000000e+0	1.349000000000000e+0		4.560000000000000e-3	1.258060000000000e-1
1.570000000000000e-5	9.440000000000000e-4	1.360000000000000e+0	1.360000000000000e+0	1.380000000000000e+0		1.000000000000000e-2	2.000000000000000e-2
1.600000000000000e-5	9.660000000000000e-4	1.400000000000000e+0	1.400000000000000e+0	1.412000000000000e+0			
1.630000000000000e-5	9.880000000000000e-4	1.430000000000000e+0	1.430000000000000e+0	1.444000000000000e+0			
1.660000000000000e-5	1.010000000000000e-3	1.460000000000000e+0	1.460000000000000e+0	1.476000000000000e+0			
1.700000000000000e-5	1.030000000000000e-3	1.490000000000000e+0	1.490000000000000e+0	1.509000000000000e+0			
1.730000000000000e-5	1.060000000000000e-3	1.530000000000000e+0	1.530000000000000e+0	1.543000000000000e+0			
1.770000000000000e-5	1.080000000000000e-3	1.560000000000000e+0	1.560000000000000e+0	1.577000000000000e+0			
1.800000000000000e-5	1.100000000000000e-3	1.600000000000000e+0	1.600000000000000e+0	1.611000000000000e+0			
1.840000000000000e-5	1.130000000000000e-3	1.630000000000000e+0	1.630000000000000e+0	1.646000000000000e+0			
1.880000000000000e-5	1.150000000000000e-3	1.670000000000000e+0	1.670000000000000e+0	1.681000000000000e+0			
1.910000000000000e-5	1.180000000000000e-3	1.700000000000000e+0	1.700000000000000e+0	1.717000000000000e+0			
1.950000000000000e-5	1.200000000000000e-3	1.740000000000000e+0	1.740000000000000e+0	1.753000000000000e+0			
1.990000000000000e-5	1.230000000000000e-3	1.780000000000000e+0	1.780000000000000e+0	1.790000000000000e+0			
2.030000000000000e-5	1.250000000000000e-3	1.810000000000000e+0	1.810000000000000e+0	1.827000000000000e+0			
2.070000000000000e-5	1.280000000000000e-3	1.850000000000000e+0	1.850000000000000e+0	1.864000000000000e+0			
2.110000000000000e-5	1.310000000000000e-3	1.890000000000000e+0	1.890000000000000e+0	1.902000000000000e+0			
2.160000000000000e-5	1.330000000000000e-3	1.930000000000000e+0	1.930000000000000e+0	1.941000000000000e+0			
2.200000000000000e-5	1.360000000000000e-3	1.970000000000000e+0	1.970000000000000e+0	1.980000000000000e+0			
2.240000000000000e-5	1.390000000000000e-3	2.010000000000000e+0	2.010000000000000e+0	2.020000000000000e+0			
2.290000000000000e-5	1.420000000000000e-3	2.050000000000000e+0	2.050000000000000e+0	2.061000000000000e+0			
2.340000000000000e-5	1.440000000000000e-3	2.090000000000000e+0	2.090000000000000e+0	2.101000000000000e+0			
2.380000000000000e-5	1.470000000000000e-3	2.130000000000000e+0	2.130000000000000e+0	2.143000000000000e+0			
2.430000000000000e-5	1.500000000000000e-3	2.170000000000000e+0	2.170000000000000e+0	2.185000000000000e+0			
2.480000000000000e-5	1.530000000000000e-3	2.210000000000000e+0	2.210000000000000e+0	2.228000000000000e+0			
2.530000000000000e-5	1.560000000000000e-3	2.260000000000000e+0	2.260000000000000e+0	2.271000000000000e+0			
2.580000000000000e-5	1.590000000000000e-3	2.300000000000000e+0	2.300000000000000e+0	2.315000000000000e+0			
2.630000000000000e-5	1.620000000000000e-3	2.350000000000000e+0	2.350000000000000e+0	2.359000000000000e+0			
2.680000000000000e-5	1.650000000000000e-3	2.390000000000000e+0	2.390000000000000e+0	2.405000000000000e+0			
2.740000000000000e-5	1.690000000000000e-3	2.440000000000000e+0	2.440000000000000e+0	2.450000000000000e+0			
2.790000000000000e-5	1.720000000000000e-3	2.480000000000000e+0	2.480000000000000e+0	2.497000000000000e+0			
2.850000000000000e-5	1.750000000000000e-3	2.530000000000000e+0	2.530000000000000e+0	2.544000000000000e+0			
2.910000000000000e-5	1.780000000000000e-3	2.580000000000000e+0	2.580000000000000e+0	2.592000000000000e+0			
2.970000000000000e-5	1.820000000000000e-3	2.630000000000000e+0	2.630000000000000e+0	2.641000000000000e+0			
3.030000000000000e-5	1.850000000000000e-3	2.680000000000000e+0	2.680000000000000e+0	2.690000000000000e+0			
3.090000000000000e-5	1.890000000000000e-3	2.730000000000000e+0	2.730000000000000e+0	2.740000000000000e+0			
3.150000000000000e-5	1.920000000000000e-3	2.780000000000000e+0	2.780000000000000e+0	2.791000000000000e+0			
3.210000000000000e-5	1.960000000000000e-3	2.830000000000000e+0	2.830000000000000e+0	2.843000000000000e+0			
3.280000000000000e-5	1.990000000000000e-3	2.880000000000000e+0	2.880000000000000e+0	2.895000000000000e+0			
3.340000000000000e-5	2.030000000000000e-3	2.940000000000000e+0	2.940000000000000e+0	2.948000000000000e+0			
