temperature	N=10^5	10^10	10^15	VAR5	VAR6
1.000000000000000e+2	3.006000000000000e+4	9.246000000000000e+3	6.153000000000000e+3	5.000000000000000e+4	5.000000000000000e+4
1.584893192461114e+2	3.461000000000000e+4	1.022100000000000e+4	6.705000000000000e+3		
2.511886431509580e+2	3.607000000000000e+4	1.173000000000000e+4	7.200000000000000e+3		
3.981071705534974e+2	3.644000000000000e+4	1.405000000000000e+4	7.706000000000000e+3		
6.309573444801930e+2	3.633000000000000e+4	1.747000000000000e+4	8.211000000000000e+3		
1.000000000000000e+3	3.636000000000000e+4	2.243000000000000e+4	8.935000000000000e+3		
1.584893192461114e+3	3.801000000000000e+4	2.884000000000000e+4	9.732000000000000e+3		
2.511886431509580e+3	4.327000000000000e+4	3.431000000000000e+4	1.079000000000000e+4		
3.981071705534974e+3	4.681000000000000e+4	3.640000000000000e+4	1.230000000000000e+4		
6.309573444801930e+3	4.770000000000000e+4	3.683000000000000e+4	1.469000000000000e+4		
1.000000000000000e+4	4.785000000000000e+4	3.686000000000000e+4	1.837000000000000e+4		
1.584893192461114e+4	4.789000000000000e+4	3.683000000000000e+4	2.357000000000000e+4		
2.511886431509582e+4	4.800000000000000e+4	3.796000000000000e+4	3.003000000000000e+4		
3.981071705534969e+4	4.872000000000000e+4	4.468000000000000e+4	3.941000000000000e+4		
5.000000000000000e+4	4.997000000000000e+4	5.038000000000000e+4	5.016000000000000e+4		
