VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
-8.686758342858078e-5	-5.000000000000000e-1	0.0000000000000000		9.997999999999998e-1	H  1
2.567177459774870e-1	-4.000000000000000e-1	6.000000000000000e+0		1.806000000000000e+0	He 1
6.004283257321311e-1	-3.000000000000000e-1	1.000000000000000e+1		3.985000000000000e+0	He 2
-4.016472901307161e-1	-2.000000000000000e-1	1.800000000000000e+1		3.965999999999999e-1	Li 1
7.461669643772853e-1	-1.000000000000000e-1	8.000000000000000e+0		5.574000000000000e+0	Li 2
9.544354863284822e-1	0.0000000000000000	1.200000000000000e+1		9.004000000000000e+0	Li 3
-1.629168491768141e-1	1.000000000000000e-1	2.000000000000000e+1		6.871999999999999e-1	Be 1
1.248301494138592e-1	2.000000000000000e-1	1.400000000000000e+1		1.333000000000000e+0	Be 2
1.048053173115609e+0	3.000000000000000e-1	1.400000000000000e+1		1.117000000000000e+1	Be 3
1.204391331919300e+0	4.000000000000000e-1	2.400000000000000e+1		1.601000000000000e+1	Be 4
-2.106308464085182e-1	5.000000000000000e-1	2.000000000000000e+1		6.156999999999999e-1	B  1
2.671717284030138e-1	6.000000000000000e-1	2.800000000000000e+1		1.850000000000000e+0	B  2
4.442009888641595e-1	6.999999999999999e-1	3.000000000000000e+1		2.781000000000000e+0	B  3
1.277150613963797e+0	8.000000000000000e-1	3.400000000000000e+1		1.893000000000000e+1	B  4
1.398807730203264e+0	8.999999999999998e-1	3.400000000000000e+1		2.505000000000000e+1	B  5
-8.039897621588899e-2	1.000000000000000e+0	4.000000000000000e+1		8.310000000000000e-1	C  1
2.533380053261064e-1	1.100000000000000e+0	4.200000000000000e+1		1.792000000000000e+0	C  2
5.448119117577761e-1	1.200000000000000e+0	4.400000000000000e+1		3.506000000000000e+0	C  3
6.767850304192054e-1	1.300000000000000e+0	5.000000000000000e+1		4.750999999999999e+0	C  4
1.461198288622493e+0	1.400000000000000e+0	4.800000000000000e+1		2.892000000000000e+1	C  5
1.554973458333240e+0	1.500000000000000e+0	5.000000000000000e+1		3.588999999999999e+1	C  6
2.775720469055346e-2	1.600000000000000e+0	5.000000000000000e+1		1.066000000000000e+0	N  1
3.366598234544200e-1	1.700000000000000e+0	4.200000000000000e+1		2.171000000000000e+0	N  2
5.413295776666937e-1	1.800000000000000e+0	3.600000000000000e+1		3.478000000000000e+0	N  3
7.565600430066829e-1	1.900000000000000e+0	3.400000000000000e+1		5.709000000000000e+0	N  4
8.572721735640413e-1	2.000000000000000e+0	4.000000000000000e+1		7.199000000000000e+0	N  5
1.607025878434786e+0	2.100000000000000e+0	4.400000000000000e+1		4.045999999999999e+1	N  6
1.690284702512630e+0	2.200000000000000e+0	4.400000000000000e+1		4.901000000000000e+1	N  7
8.677215312269125e-4	2.300000000000000e+0	2.800000000000000e+1		1.002000000000000e+0	O  1
4.129642719966627e-1	2.400000000000000e+0	8.000000000000000e+0		2.588000000000000e+0	O  2
6.073477767684134e-1	2.500000000000000e+0	8.000000000000000e+0		4.048999999999999e+0	O  3
7.531232446817125e-1	2.600000000000000e+0	8.000000000000000e+0		5.664000000000000e+0	O  4
9.231921904206675e-1	2.700000000000000e+0	1.200000000000000e+1		8.379000000000000e+0	O  5
1.006466042249232e+0	2.800000000000000e+0	8.000000000000000e+0		1.015000000000000e+1	O  6
1.735598899698180e+0	2.900000000000000e+0	1.400000000000000e+1		5.440000000000000e+1	O  7
1.804616416987255e+0	3.000000000000000e+0	8.000000000000000e+0		6.377000000000000e+1	O  8
1.075491297446863e-1		0.0000000000000000		1.281000000000000e+0	F  1
4.060289449636150e-1				2.547000000000000e+0	F  2
6.628522332647962e-1				4.601000000000000e+0	F  3
8.051609015994339e-1				6.385000000000000e+0	F  4
9.266510770888888e-1				8.446000000000000e+0	F  5
1.058426024457005e+0				1.144000000000000e+1	F  6
1.134814370320460e+0				1.364000000000000e+1	F  7
1.847757688392331e+0				7.042999999999999e+1	F  8
1.912434633375575e+0				8.174000000000000e+1	F  9
2.011238972073795e-1				1.589000000000000e+0	Ne 1
4.788549675286630e-1				3.012000000000000e+0	Ne 2
6.697816152085365e-1				4.675000000000000e+0	Ne 3
8.537590330747688e-1				7.140999999999999e+0	Ne 4
9.682961150462555e-1				9.296000000000000e+0	Ne 5
1.065579714728448e+0				1.163000000000000e+1	Ne 6
1.183554533618862e+0				1.526000000000000e+1	Ne 7
1.246005904076029e+0				1.762000000000000e+1	Ne 8
1.942603248842156e+0				8.761999999999998e+1	Ne 9
1.998695158311656e+0				9.969999999999998e+1	Ne10
