VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16	VAR17	VAR18	VAR19	VAR20	VAR21	VAR22
5.211000000000000e+2	3.295000000000000e-20	6.314000000000000e+1	1.451000000000000e-19	5.387000000000000e+1	1.293000000000000e-18	8.076000000000000e+0	3.296000000000000e-19	5.595000000000000e+0	8.289000000000000e-19	5.640000000000000e+0	6.565000000000000e-18	1.190000000000000e+0	3.985000000000000e-19	1.000000000000000e+0	0.0000000000000000	0.0000000000000000	2.000000000000000e-2	0.0000000000000000	0.0000000000000000	1.000000000000000e+0	1.000000000000000e+0
5.316000000000000e+2	3.191000000000000e-20	6.377000000000000e+1	1.436000000000000e-19	5.440000000000000e+1	1.270000000000000e-18	8.140000000000000e+0	3.296000000000000e-19	5.640000000000000e+0	8.052000000000000e-19	5.685000000000000e+0	6.508999999999999e-18	1.199000000000000e+0	3.925000000000000e-19	2.000000000000000e+0	1.000000000000000e-1	2.000000000000000e-2	2.000000000000000e-1	4.000000000000000e-2	1.000000000000000e+0		
5.422000000000001e+2	3.036000000000000e-20	6.441000000000000e+1	1.416000000000000e-19	5.495000000000000e+1	1.244000000000000e-18	8.206000000000000e+0	3.294000000000000e-19	5.685000000000000e+0	7.815000000000000e-19	5.730000000000001e+0	6.453000000000000e-18	1.209000000000000e+0	3.894000000000000e-19	3.000000000000000e+0	1.000000000000000e-1	2.000000000000000e-1	3.100000000000000e-1	9.600000000000000e-1			
5.531000000000000e+2	2.887000000000000e-20	6.505000000000000e+1	1.397000000000000e-19	5.549000000000000e+1	1.217000000000000e-18	8.271000000000000e+0	3.292000000000000e-19	5.730000000000001e+0	7.600000000000000e-19	5.776000000000000e+0	6.395999999999999e-18	1.218000000000000e+0	3.895000000000000e-19	4.000000000000000e+0	1.600000000000000e-1	2.600000000000000e-1	4.000000000000000e-1				
5.642000000000001e+2	2.746000000000000e-20	6.570000000000000e+1	1.378000000000000e-19	5.605000000000000e+1	1.191000000000000e-18	8.337999999999998e+0	3.290000000000000e-19	5.776000000000000e+0	7.404000000000000e-19	5.823000000000000e+0	6.338999999999999e-18	1.228000000000000e+0	3.929000000000000e-19	5.000000000000000e+0	1.900000000000000e-1	4.800000000000000e-1	7.000000000000001e-2				
5.755000000000000e+2	2.611000000000000e-20	6.634999999999999e+1	1.359000000000000e-19	5.661000000000000e+1	1.166000000000000e-18	8.404000000000000e+0	3.286000000000000e-19	5.823000000000000e+0	7.228000000000000e-19	5.869000000000000e+0	6.282999999999999e-18	1.238000000000000e+0	3.997000000000000e-19	6.000000000000000e+0	3.200000000000000e-1	1.400000000000000e-1	0.0000000000000000				
5.871000000000000e+2	2.483000000000000e-20	6.702000000000000e+1	1.340000000000000e-19	5.717000000000000e+1	1.141000000000000e-18	8.472000000000000e+0	3.283000000000000e-19	5.869000000000000e+0	7.068999999999999e-19	5.916000000000000e+0	6.225999999999999e-18	1.248000000000000e+0	4.100000000000000e-19	7.000000000000000e+0	1.200000000000000e-1	1.000000000000000e-2	0.0000000000000000				
5.989000000000000e+2	2.360000000000000e-20	6.769000000000000e+1	1.322000000000000e-19	5.774000000000000e+1	1.116000000000000e-18	8.539999999999998e+0	3.279000000000000e-19	5.916000000000000e+0	6.928000000000000e-19	5.964000000000001e+0	6.167999999999999e-18	1.258000000000000e+0	4.238000000000000e-19	8.000000000000000e+0	1.000000000000000e-2	0.0000000000000000	0.0000000000000000				
6.109000000000000e+2	2.243000000000000e-20	6.836000000000000e+1	1.303000000000000e-19	5.832000000000000e+1	1.092000000000000e-18	8.608000000000000e+0	3.274000000000000e-19	5.964000000000001e+0	6.802999999999999e-19	6.011000000000000e+0	6.111000000000000e-18	1.268000000000000e+0	4.412000000000000e-19	9.000000000000000e+0	0.0000000000000000	0.0000000000000000	0.0000000000000000				
6.231000000000000e+2	2.131000000000000e-20	6.904000000000001e+1	1.285000000000000e-19	5.890000000000000e+1	1.068000000000000e-18	8.677000000000000e+0	3.269000000000000e-19	6.011000000000000e+0	6.691999999999999e-19	6.060000000000000e+0	6.054000000000000e-18	1.278000000000000e+0	4.623000000000000e-19								
