VAR1	VAR2	VAR3
1 H		
2 He	2.790000000000000e+10	1.000000000000000e+0
3 Li	2.720000000000000e+9	2.000000000000000e+0
4 Be	5.710000000000000e+1	3.000000000000000e+0
5 B	7.300000000000000e-1	4.000000000000000e+0
6 C	2.120000000000000e+1	5.000000000000000e+0
7 N	1.010000000000000e+7	6.000000000000000e+0
8 O	3.130000000000000e+6	7.000000000000000e+0
9 F	2.380000000000000e+7	8.000000000000000e+0
10 Ne	8.430000000000000e+2	9.000000000000000e+0
11 Na	3.440000000000000e+6	1.000000000000000e+1
12 Mg	5.740000000000000e+4	1.100000000000000e+1
13 Al	1.070000000000000e+6	1.200000000000000e+1
14 Si	8.490000000000000e+4	1.300000000000000e+1
15 P	1.000000000000000e+6	1.400000000000000e+1
16 S	1.040000000000000e+4	1.500000000000000e+1
17 Cl	5.150000000000000e+5	1.600000000000000e+1
18 Ar	5.240000000000000e+3	1.700000000000000e+1
19 K	1.010000000000000e+5	1.800000000000000e+1
20 Ca	3.770000000000000e+3	1.900000000000000e+1
21 Sc	6.110000000000000e+4	2.000000000000000e+1
22 Ti	3.420000000000000e+1	2.100000000000000e+1
23 V	2.400000000000000e+3	2.200000000000000e+1
24 Cr	2.930000000000000e+2	2.300000000000000e+1
25 Mn	1.350000000000000e+4	2.400000000000000e+1
26 Fe	9.550000000000000e+3	2.500000000000000e+1
27 Co	9.000000000000000e+5	2.600000000000000e+1
28 Ni	2.250000000000000e+3	2.700000000000000e+1
29 Cu	4.930000000000000e+4	2.800000000000000e+1
30 Zn	5.220000000000000e+2	2.900000000000000e+1
	1.260000000000000e+3	3.000000000000000e+1
