VAR1	VAR2	VAR3	VAR4	VAR5
7.015533980582523e-7	2.167800000000000e+12	1.000000000000000e+4	-1.000000000000000e-2	7.680000000000000e+5
2.104692556634304e-6	6.503500000000000e+12	1.041700000000000e+4	1.000000000000000e-1	7.680000000000000e+5
3.156213592233010e-6	9.752700000000000e+12	1.071800000000000e+4		
4.277669902912622e-6	1.321800000000000e+13	1.103100000000000e+4		
5.466666666666666e-6	1.689200000000000e+13	1.135200000000000e+4		
6.726860841423948e-6	2.078600000000000e+13	1.168300000000000e+4		
8.062459546925566e-6	2.491300000000000e+13	1.202300000000000e+4		
9.478317152103560e-6	2.928800000000000e+13	1.237300000000000e+4		
1.097864077669903e-5	3.392400000000000e+13	1.273400000000000e+4		
1.256860841423948e-5	3.883700000000000e+13	1.310500000000000e+4		
1.425372168284790e-5	4.404400000000000e+13	1.348600000000000e+4		
1.603948220064725e-5	4.956200000000000e+13	1.387900000000000e+4		
1.793203883495146e-5	5.541000000000000e+13	1.428400000000000e+4		
1.993786407766990e-5	6.160800000000000e+13	1.470000000000000e+4		
2.206310679611650e-5	6.817500000000000e+13	1.512800000000000e+4		
2.431521035598706e-5	7.513400000000000e+13	1.556900000000000e+4		
2.670194174757282e-5	8.250900000000000e+13	1.602200000000000e+4		
2.923139158576052e-5	9.032500000000000e+13	1.648900000000000e+4		
3.191132686084142e-5	9.860600000000000e+13	1.697000000000000e+4		
3.475080906148867e-5	1.073800000000000e+14	1.746400000000000e+4		
3.776051779935275e-5	1.166800000000000e+14	1.797300000000000e+4		
4.095145631067961e-5	1.265400000000000e+14	1.849700000000000e+4		
4.433009708737864e-5	1.369800000000000e+14	1.903500000000000e+4		
4.790938511326861e-5	1.480400000000000e+14	1.959000000000000e+4		
5.170550161812298e-5	1.597700000000000e+14	2.016100000000000e+4		
5.572491909385114e-5	1.721900000000000e+14	2.074800000000000e+4		
5.998705501618122e-5	1.853600000000000e+14	2.135300000000000e+4		
6.450161812297734e-5	1.993100000000000e+14	2.197500000000000e+4		
6.928478964401294e-5	2.140900000000000e+14	2.261500000000000e+4		
7.435598705501619e-5	2.297600000000000e+14	2.327400000000000e+4		
7.972491909385112e-5	2.463500000000000e+14	2.395200000000000e+4		
8.541747572815534e-5	2.639400000000000e+14	2.465000000000000e+4		
9.144983818770227e-5	2.825800000000000e+14	2.536800000000000e+4		
9.783818770226538e-5	3.023200000000000e+14	2.610800000000000e+4		
1.046084142394822e-4	3.232400000000000e+14	2.686800000000000e+4		
1.117831715210356e-4	3.454100000000000e+14	2.765100000000000e+4		
1.193851132686084e-4	3.689000000000000e+14	2.845700000000000e+4		
1.274401294498382e-4	3.937900000000000e+14	2.928600000000000e+4		
1.359741100323624e-4	4.201600000000000e+14	3.014000000000000e+4		
1.450161812297735e-4	4.481000000000000e+14	3.101800000000000e+4		
1.545987055016181e-4	4.777100000000000e+14	3.192200000000000e+4		
1.647508090614887e-4	5.090800000000000e+14	3.285200000000000e+4		
1.755048543689320e-4	5.423100000000000e+14	3.380900000000000e+4		
1.869029126213592e-4	5.775300000000000e+14	3.479400000000000e+4		
1.989773462783171e-4	6.148400000000000e+14	3.580800000000000e+4		
2.117702265372168e-4	6.543700000000000e+14	3.685200000000000e+4		
2.253268608414240e-4	6.962600000000000e+14	3.792500000000000e+4		
2.396893203883495e-4	7.406400000000000e+14	3.903100000000000e+4		
2.549029126213592e-4	7.876500000000000e+14	4.016800000000000e+4		
2.710258899676376e-4	8.374700000000000e+14	4.133800000000000e+4		
2.881067961165048e-4	8.902500000000000e+14	4.254300000000000e+4		
3.062038834951456e-4	9.461700000000000e+14	4.378300000000000e+4		
3.253721682847896e-4	1.005400000000000e+15	4.505900000000000e+4		
3.456957928802589e-4	1.068200000000000e+15	4.637200000000000e+4		
3.672168284789644e-4	1.134700000000000e+15	4.772300000000000e+4		
3.900323624595470e-4	1.205200000000000e+15	4.911400000000000e+4		
4.141747572815534e-4	1.279800000000000e+15	5.054500000000000e+4		
4.397734627831715e-4	1.358900000000000e+15	5.201800000000000e+4		
4.668932038834951e-4	1.442700000000000e+15	5.353400000000000e+4		
