principle quantum number	critical density
4.000000000000000e+0	9.600000000000000e+0
5.000000000000000e+0	8.800000000000000e+0
6.000000000000000e+0	8.300000000000000e+0
7.000000000000000e+0	7.800000000000000e+0
8.000000000000000e+0	7.300000000000000e+0
9.000000000000000e+0	7.000000000000000e+0
1.000000000000000e+1	6.600000000000000e+0
1.100000000000000e+1	6.100000000000000e+0
1.200000000000000e+1	5.600000000000000e+0
1.300000000000000e+1	5.300000000000000e+0
1.400000000000000e+1	4.800000000000000e+0
1.500000000000000e+1	4.400000000000000e+0
